Player_ID,Player_Name,Age,Nationality,Position,Current_Club,League,Appearances,Goals,Market_Value_Million_EUR,Transfer_Fee_Million_EUR,Shots_Per_Game,Dribbles_Per_Game,Key_Passes_Per_Game,Tackles_Per_Game,Interceptions_Per_Game,Clearances_Per_Game,Pass_Accuracy_Percentage,Saves_Per_Game,Clean_Sheets,Save_Percentage,Contract_Start,Contract_End,Height_cm,Weight_kg,Preferred_Foot
65302,Daniel Robinson,,Argentina,GK,Inter Milan,Premier League,1,20,92.3,5.9,0.2,0.2,0.2,0,0,1.9,77,4.7,7.9,76.3,2020-07-27,2022-02-05,202,62,Right
14165,Alexander Marshall,,Argentina,FW,Manchester United,Ligue 1,6,22,96.5,70.6,3.4,2.4,1.8,0.3,1,1.4,73.1,0,3.3,1.8,2020-08-28,2023-11-12,170,82,Left
13905,Denise Travis,18,Netherlands,MF,Chelsea,La Liga,44,3,,13.7,1.2,2.6,2.6,3.1,1.6,1.3,83.8,0,,2.6,2005-04-10,2008-08-23,173,71,Right
22280,Patricia Hall,27,Italy,FW,PSG,,3,7,51,50.7,3.9,3.6,2.2,1,0.4,1.3,70,0,2.3,0.9,2005-02-04,2008-06-24,175,79,Right
38657,Laurie Lyons,22,Germany,DF,Manchester United,Serie A,7,11,110.5,100.6,0.9,1.1,1,3.7,4.5,6.2,86.8,0.3,6.9,0.9,2016-01-05,2018-06-04,179,64,Right
40495,Anthony Snow,21,Belgium,GK,Barcelona,Premier League,26,28,,112.8,0,0.2,0.1,,0,2,77.2,,13.4,78,2012-09-08,2014-09-16,200,89,Left
76237,Todd Tucker,26,,DF,Arsenal,Ligue 1,9,9,29.8,142.4,0.5,1.4,0.5,2.7,3.3,3.7,82.9,0.1,14.8,6.5,2019-10-24,2021-06-18,178,68,Right
88907,Jessica Nguyen,19,Netherlands,GK,Real Madrid,La Liga,22,6,48.2,114,0.2,0.2,0.5,0.1,,1.2,79.3,3.1,6.7,77.4,2008-08-06,2010-11-07,199,93,Right
13478,Angela Hodge,27,Argentina,MF,PSG,Ligue 1,4,9,37.1,83.2,1.2,1.1,3.3,2.6,,2.2,80.6,0.1,,0.7,2015-01-23,2017-07-12,168,94,Right
83563,Jennifer Montes,20,England,FW,Arsenal,Bundesliga,49,,18.1,22,3.9,3.9,1.3,1.1,0.6,0.4,73.5,0.1,0.2,1.3,2014-12-22,2015-06-15,184,81,Right
36062,Victoria Olsen,33,Argentina,MF,Liverpool,Serie A,13,15,79.3,129.1,1.9,1.5,3.1,2,1.6,,,0.1,7.3,4.3,2008-04-03,2011-09-14,183,83,Right
95181,Robert Galvan,26,Brazil,MF,Liverpool,Premier League,,2,91.3,148.1,0.8,1.8,,2.1,1.1,1.3,85.1,,,,2014-12-20,2019-04-23,178,76,
81426,Kenneth Jones,22,England,MF,Manchester United,La Liga,49,7,90.2,13.3,0.6,2,2.4,3.3,2.1,1.3,81.7,0.1,6.8,3.3,2010-05-05,2014-11-22,180,69,Right
64987,Robert Brown,28,Spain,MF,Real Madrid,Serie A,28,1,117.8,1.7,2,1.5,2.7,3.3,,2.7,,0.1,3.2,0.5,2020-12-07,2021-07-11,185,89,Right
38893,Patrick Rivera,30,Belgium,,,Premier League,32,,19.8,64.8,0.8,1.4,0.7,2.9,2.3,5.6,82.9,0.1,9.9,5.4,2012-10-02,2017-08-07,178,82,Right
68878,John Larson,32,France,MF,Liverpool,Serie A,12,4,89.2,40.2,1.6,1.2,3.2,2.3,1.8,1.1,86.8,0.2,6.7,4.3,2016-10-04,2018-05-23,179,91,Right
87236,Matthew Miller,20,Netherlands,GK,PSG,Serie A,43,16,78.8,66.3,0,0,0.2,0.3,0,0.6,71.9,4.4,11.9,73.8,2012-12-28,2015-10-18,193,76,Left
46463,Derek Foley,33,Belgium,DF,Inter Milan,Premier League,33,23,33.8,60.3,0.1,1.3,0.6,2.9,3.6,3.7,78.9,0.1,3.6,2.7,2016-10-08,2021-11-12,176,76,Right
10851,Dylan Lee,34,,DF,PSG,Premier League,15,21,5.9,27.1,0.2,1.2,1,4.6,4,,78.7,0.3,10.7,7.7,2019-05-07,2024-05-09,183,73,
30926,Marc Sharp,23,,GK,Chelsea,La Liga,15,17,6.1,,0.1,,0.4,0,0,0.8,74.9,5.2,5.3,76.2,2010-11-26,2013-01-01,191,68,Right
65392,Rhonda Barton,20,England,DF,PSG,Bundesliga,22,11,67.9,135,0.5,1.1,0.9,,2.3,5.4,86.8,0.2,,2.7,2014-11-12,2019-11-09,170,61,Both
54597,Stephen Williams,17,Germany,FW,Bayern Munich,Bundesliga,48,25,34.9,112.2,3.4,3.2,1.3,0.6,0.6,,78.6,0.1,0.4,2.7,2008-05-08,2013-01-09,183,84,Left
46421,Anthony Clark,32,Italy,MF,,Ligue 1,20,29,79.6,145.6,0.8,1.2,2.9,2.2,1.4,2.8,84.8,0.2,7.1,1.7,2015-09-11,2017-09-03,191,68,Right
30379,Brenda Vargas,18,Portugal,GK,,Serie A,49,20,,135.6,0.1,0,0.2,0.1,0,,64.2,3.5,13.4,78.7,2010-07-06,2011-12-20,198,81,Right
38221,Mark Rodriguez,,Belgium,FW,Juventus,Bundesliga,30,13,38,34.1,2.3,3.4,2.1,0.4,0.8,1.1,77,0.1,,2.8,2019-01-21,2020-12-13,193,63,Right
54118,Jennifer Meyers,18,,GK,Liverpool,Ligue 1,27,9,7.6,125.4,0.1,0.3,,0,,1.4,76.6,5.7,15.8,79.2,2020-10-16,2023-12-19,201,85,Left
23396,James Mcneil,19,Argentina,GK,Manchester United,La Liga,40,3,84.8,81.2,0.2,0.2,0.3,0.3,0.2,0.6,72,3.3,13.1,74,2019-08-20,2024-04-24,196,88,Right
22156,Raymond Ortiz,21,Germany,FW,Barcelona,Ligue 1,,12,118.9,51.6,4.4,2,1.7,0.6,0.1,1.2,72.4,0,1.3,2.2,2013-04-17,2017-10-11,179,93,
59797,Sean House,32,Germany,DF,,Bundesliga,5,25,38.2,89.3,0.9,0.8,0.8,4.6,2.7,3.4,79.4,0.3,8.2,1.8,2014-02-16,2018-05-26,178,82,Right
22676,Joseph Martinez,20,,FW,Arsenal,Ligue 1,29,4,,132.1,2.3,1.8,2.9,0.5,0.2,1.2,84.2,,3.2,1.1,2007-03-24,2011-09-01,172,70,Right
57052,Angela Russo,33,Italy,MF,Real Madrid,Ligue 1,43,11,22.9,38.5,1.9,2,2,2.6,2,1.7,88.1,0.1,9,1.9,2011-03-28,2015-08-18,192,65,Right
55082,Elizabeth Young,,,MF,,Premier League,9,12,53.8,121.6,1.7,2.4,2.4,3.5,1.1,2.2,,0.2,6.5,2.5,2009-08-18,2011-12-23,185,77,Left
89131,Ashley Mcbride,36,Argentina,MF,,Premier League,47,9,52.1,,1,1.9,2.7,3.3,1.4,2.9,80.7,,7,2.9,2012-05-06,2015-03-16,186,80,Right
44671,Eric Campbell,,,MF,Bayern Munich,Ligue 1,10,25,83.8,117.9,1.5,2.4,1.9,2.2,,1.8,86.6,0.1,2.3,0.6,2009-10-07,2014-11-03,190,95,Right
15695,Danielle Bell,22,England,FW,Inter Milan,Bundesliga,,2,6.3,109.2,2.5,3.7,2.8,0.9,0.2,0.2,,0.1,0.5,0.2,2011-12-02,2014-01-06,190,93,Right
70217,Cynthia Lopez,,Brazil,DF,Chelsea,Serie A,15,21,6.8,29.6,0.2,0.5,0.7,3.9,2.8,3.1,83.9,0.2,9.5,6,2016-02-03,2019-01-23,173,76,Both
80284,Ashley Jackson,33,England,DF,Manchester United,Premier League,39,28,54.9,90.5,0.8,0.8,0.4,4.4,3.9,5.9,76.7,,10,8.1,2005-07-10,2009-11-17,189,84,Right
26361,Destiny Williams,32,Italy,,PSG,Premier League,32,19,19.6,115.1,0,0.1,0.3,0.2,0,0.6,76.7,5.1,6.7,85.9,2011-07-28,2014-12-27,185,71,Left
59615,Jesus Munoz,,,DF,PSG,Ligue 1,15,6,20.1,60.6,0.6,0.8,0.8,4.2,3.1,3.4,77.2,0.1,12.5,6.4,2012-10-13,2015-01-18,193,82,Right
20328,Susan Goodman,27,Spain,GK,Manchester United,,39,,112.5,145.2,0.1,,0,0.1,0.1,1.2,72.8,5.9,17.4,86.9,2006-10-08,2009-06-04,193,81,Right
82357,Frank Reynolds,28,Portugal,DF,Inter Milan,Bundesliga,18,23,100.9,11.3,0.9,1.4,0.3,4.1,3.5,4.1,75.1,0.1,13.4,1.4,2005-03-27,2006-09-07,171,80,Right
48427,Andrew Key,18,Argentina,DF,,Serie A,15,22,35.5,33,1,0.8,0.7,3.8,4.5,4.1,87.9,0.1,4.7,4.9,2009-08-27,2014-01-14,179,86,Right
92397,Christopher Cole,24,France,MF,PSG,Premier League,44,0,83.9,12.3,0.6,2.7,2.7,1.8,,1.2,81,0.2,0.6,4.8,2015-05-22,2017-07-11,186,90,
91070,Michael Donovan,,Brazil,DF,Bayern Munich,Premier League,,11,95.3,111.5,1,,1,4.3,3.1,5,87.5,0.2,7.3,6.3,2016-07-21,2021-11-24,169,65,Left
57400,Kimberly Vega,24,Argentina,FW,,Serie A,22,5,105.5,52.6,2.1,2.3,1.1,0.4,0.5,0.8,82.9,,2.3,2.9,2006-05-14,2011-10-02,184,86,Right
85674,Barbara Perry,32,Brazil,GK,Arsenal,Premier League,30,5,,121.9,0.1,0.1,0.3,0.1,0.2,,67.2,5.9,16.3,83.2,2006-12-21,2010-04-07,198,93,Right
35203,Mr. Brian Kidd,24,Brazil,FW,Juventus,,,22,95.4,98.9,2.9,2.9,2.9,0.7,0.4,0.4,75.4,0,2.9,1.4,2020-05-06,2023-09-23,178,71,Right
19116,Stephanie Cooley,34,Netherlands,FW,Real Madrid,La Liga,45,26,101.3,16.1,2.7,3.1,2.8,0.6,0.4,1.4,,0,,0.1,2008-03-09,2010-02-23,188,66,
16006,Kelly Anderson,28,Portugal,,Inter Milan,Serie A,11,,116.2,9.4,,,0.8,2.7,2.1,7,82.6,0,10.2,5.5,2006-08-18,2008-10-09,183,69,Left
96673,Charles Chase,29,,GK,Arsenal,Serie A,22,,,60.1,0.1,0.2,,0.3,0,1.3,67.2,4.1,10.4,,2007-02-28,2008-04-03,189,76,Right
39871,Stephanie Carter,34,Germany,FW,PSG,Ligue 1,9,27,37.6,60.1,2.3,2.5,2.9,0.9,0.9,0.4,76.6,0.1,4,1.4,2008-02-22,2009-06-07,169,85,Both
47930,Dawn Stevenson,36,Argentina,MF,Inter Milan,Ligue 1,8,1,59,81.5,1.7,1.6,2.2,3.3,1.8,1.1,86.7,0.1,2.4,1,2005-12-19,2007-07-12,190,80,
20458,Joel Armstrong,,Italy,MF,Arsenal,Serie A,30,10,96,105.7,0.6,2,3.1,3.3,2,1.8,89.1,0.1,2.3,4,2017-02-28,2022-06-12,175,87,Right
40512,William Williams,35,France,DF,Liverpool,La Liga,5,15,32.5,5.5,0.3,1.3,0.7,2.8,3.7,6.5,87.8,,6.3,5,2005-08-02,2009-06-22,180,61,Left
23238,,29,Spain,MF,Juventus,Premier League,8,0,11.6,11.7,1.8,2.7,1.8,2.5,,2.7,,0,5.6,0.6,2009-09-09,2011-10-20,177,60,
59823,Kim Green,35,Germany,MF,,Premier League,41,24,100.5,97.8,1.2,2.1,3.2,3,1.7,1.6,,0.2,3.9,,2016-01-20,2020-09-17,175,95,
46434,Courtney Lamb,23,Brazil,,Arsenal,,46,10,99.8,141.1,4.1,1.6,2.3,1.2,0.1,,,0.1,,0.8,2018-11-07,2019-07-27,171,85,Right
69429,Andrew Rodgers,31,Spain,MF,Real Madrid,Bundesliga,14,5,76.1,63.2,1.1,2.9,,1.6,1.3,1.7,83.5,0.1,,1.6,2007-02-08,2011-08-07,182,88,Right
93320,Laura Lee,35,Argentina,FW,Chelsea,Bundesliga,,8,70.6,12.1,3.1,,1.5,0.6,0.5,0.5,73.8,0,1.4,0.2,2005-04-08,2008-05-26,168,80,
57819,Eric Smith,24,England,MF,Chelsea,,15,4,,132.2,1.3,2,2.9,1.9,1.5,1.1,86.6,0,5.7,,2010-10-01,2015-03-02,178,70,Right
31319,Tammy White,31,Argentina,MF,,Serie A,5,18,,63.4,1,1.5,1.6,2,2.2,1.5,91.1,0.1,9.7,4.2,2008-07-10,2012-10-27,174,70,Right
58520,Jeffrey Gonzalez,31,France,GK,Manchester United,Ligue 1,27,27,104.5,127.3,0.1,0.1,0.4,0.2,0.2,1.8,79.5,5.7,,86.7,2018-05-15,2023-07-19,188,95,Right
56566,Katrina Morgan,17,,FW,Juventus,Ligue 1,29,6,6.5,47.1,3.8,2,2.7,1.1,0.9,,81.1,,0.4,0.8,2019-12-26,2020-10-23,187,94,Right
37460,Natalie Butler,25,Belgium,GK,Chelsea,Ligue 1,29,13,41.4,142.7,0,0.1,0.2,0.1,0,1.2,64.6,4.4,18.6,79.3,2016-11-20,2021-10-25,195,93,Right
97841,Christina Moore,33,England,DF,Juventus,Bundesliga,46,24,,15.9,0.6,0.8,0.7,2.9,3.3,5.2,81.3,0,4.9,,2007-07-02,2012-05-01,185,83,
44993,James Taylor,25,,MF,Arsenal,,3,3,,27.7,0.8,2.5,2.5,3,1.2,2.3,86.5,0,3.1,3,2014-05-27,2019-03-13,189,81,Right
99593,Tammy Lee,33,France,DF,Juventus,Bundesliga,14,21,47.5,27,0.9,0.9,0.9,4.5,4.1,5.7,84.1,0.3,7,9.2,2011-11-06,2012-06-13,189,64,Right
94939,Paula Moore,30,,GK,PSG,La Liga,,17,99.5,10.6,0.2,0.3,0.1,0.1,0,,62.2,5,17.4,79.6,2015-05-25,2019-06-15,199,92,Right
19358,Joseph Wise,34,England,DF,Inter Milan,Ligue 1,37,,85.6,149.8,,1.1,0.8,2.9,4.5,4,83.3,0.1,10.9,5.4,2019-02-18,2023-01-20,176,95,Left
89840,Sarah Kim,35,France,GK,Manchester United,,45,1,111.3,30.3,0.1,0.2,0.3,0.2,0.1,1.1,78.8,3.6,19.7,78.1,2017-08-14,2021-08-26,192,79,Right
93227,Jason Waters,,Portugal,GK,Arsenal,Bundesliga,47,25,40.1,33.1,0.1,0.1,,0,0.1,1.1,77.3,4.7,11.6,75.2,2010-03-12,2014-11-09,197,78,Right
32431,,31,Portugal,,Real Madrid,Serie A,10,18,3.5,127.8,0,0.1,0.3,0.2,0.2,1.6,76.6,4.9,10.4,70.2,2018-09-19,2019-08-23,171,94,Left
80010,Tammy Hernandez,30,Germany,GK,Bayern Munich,Premier League,0,24,0.9,12.6,0.1,0.1,0.2,0.3,,0.6,60,4.5,16.8,84.8,2017-10-26,2021-05-10,192,76,Left
42087,Susan Harris,19,Spain,,Real Madrid,Premier League,3,23,109,8.2,2.1,2.6,2.9,,0.4,,74.8,0,4.9,0.6,2015-07-06,2018-04-15,177,93,Left
31417,,25,Netherlands,FW,Juventus,Serie A,6,29,,104.2,5,,1.7,0.6,,0.8,,0,,2.6,2017-05-08,2019-03-09,178,68,Left
70589,Maurice Shields,,Brazil,GK,Juventus,Ligue 1,30,11,1.5,14.9,0,0,0.1,0.1,0,0.8,66.4,2.9,17.5,89.2,2011-06-16,2012-02-08,192,85,Right
59735,Taylor Cross,35,Germany,DF,Barcelona,Bundesliga,41,14,34,41.5,,0.4,0.8,2.9,,3.4,80.4,0.2,13.9,3.8,2019-02-01,2021-07-26,191,61,
45382,,27,Italy,DF,Barcelona,Serie A,45,4,27.9,,0.6,1.3,0.9,3.1,3.2,,80.7,0.1,3.5,,2006-06-26,2010-03-07,177,68,Right
93886,Shannon Obrien,34,Portugal,FW,PSG,,32,7,4.1,118.6,,2.7,1.8,,,0.7,70.6,0,2,1.8,2006-03-26,2010-07-11,175,68,Left
83000,Joshua Palmer,19,Netherlands,DF,Liverpool,La Liga,45,21,111.2,123.3,0.9,1.4,0.6,4.6,2.9,5.8,76.6,,8.1,,2018-04-09,2020-02-13,169,76,Left
38785,Michael Welch,21,Germany,FW,Real Madrid,La Liga,3,16,20.1,145.9,,2.2,2.2,0.9,0.4,0.8,81.6,0.1,2,2.2,2020-02-04,2023-03-06,190,60,Left
99733,Robert Anderson,35,Netherlands,FW,PSG,Premier League,31,17,6.4,140.8,4.9,1.9,1.2,0.3,0.2,1.2,,0.1,2.8,1.9,2015-05-23,2019-12-23,175,84,Right
52504,Robert Rodriguez,32,France,FW,Chelsea,La Liga,47,29,101.9,29.1,2.9,2.6,,0.8,0.6,0.5,74.7,0,2.5,1.2,2015-12-10,2017-03-14,183,84,Right
17331,David Rivera,30,Italy,MF,Arsenal,La Liga,12,18,,108.1,2,,2.8,,1.1,1.9,89,0.2,0.8,4.1,2020-01-11,2023-07-17,189,94,Right
40021,Brenda Daniel,18,Germany,MF,Arsenal,Serie A,0,16,67.1,15.6,1,2.9,1.7,2.2,2.2,3,81.7,0.1,4.2,4.4,2017-08-16,2018-11-05,172,62,
14207,Jonathan Rodriguez,21,France,GK,,,42,19,38.4,32.8,0.2,0.2,0.2,0,0.1,,63.4,4.2,11.7,72.2,2020-10-26,2025-04-05,198,89,Left
51347,,18,Netherlands,DF,Bayern Munich,La Liga,22,14,91.9,,0.6,,0.2,4.8,4.3,5.5,78.1,0.2,4.4,8.1,2012-01-26,2014-05-10,192,93,Right
62581,Dr. Krista English,25,Germany,DF,Chelsea,Bundesliga,2,14,83,81.9,0.2,0.4,0.5,,4.4,4.7,85.8,0.1,13.2,,2016-04-13,2019-11-16,170,71,Right
45093,Destiny Gibson,35,England,DF,Inter Milan,Serie A,35,29,60.3,105.5,0.1,1.4,0.9,3,4.2,6.9,83.5,0.1,6.4,2.1,2018-06-07,2019-08-18,179,78,Right
18675,Jordan Shepard,31,Italy,DF,Manchester United,Serie A,29,11,91.9,70.3,0.1,1.2,,4.3,2.5,6.6,,0.1,3.6,2.9,2017-01-27,2022-12-07,180,76,
37653,Troy Lopez,28,Germany,,Real Madrid,La Liga,14,19,,82.9,0.4,0.6,0.5,2.6,4.2,5.2,,0.1,14.1,8.6,2018-01-02,2022-03-18,180,69,Left
84341,Amanda Montgomery,30,France,MF,Real Madrid,La Liga,,1,107.6,32.5,2.4,2.2,3.4,1.9,2.1,2.4,,0,,3,2007-01-14,2008-11-25,177,71,Right
51245,Jordan Bauer,26,Netherlands,FW,Chelsea,Ligue 1,,,55.1,18.5,2.7,2.2,2.1,,,0.6,75.8,0.1,0.2,1.6,2018-12-22,2021-02-15,171,75,Right
37869,Jack Burton,,England,GK,Real Madrid,Serie A,38,18,20.1,,0,0.2,0.1,0.3,,0.7,65.1,5.6,,,2006-03-08,2008-02-23,196,83,Left
95909,Mrs. Shannon Barnes,,Portugal,FW,Bayern Munich,La Liga,2,9,85.1,144,3.3,1.5,2.7,1,0.8,0.2,,0.1,4.3,0.8,2017-03-24,2018-07-07,189,78,Left
75435,David Davis,30,Portugal,DF,PSG,La Liga,42,27,93.8,59.5,0.3,1.1,,4.8,2.1,4.8,82.9,0,7.2,,2016-10-07,2017-02-08,191,67,
61856,Christopher White,31,Belgium,MF,Chelsea,Serie A,0,26,38.9,20.5,2.1,1.2,3.3,3,1.9,2,86,0,2.2,3.2,2014-08-20,2015-03-03,190,90,Right
94259,Ronald Clark,21,Argentina,MF,Arsenal,Bundesliga,49,14,49.9,67.4,,2.1,1.6,3.4,1.3,2.3,,0,6,0.2,2007-10-17,2011-08-09,169,80,Right
70142,Emily Chambers,26,England,FW,Bayern Munich,La Liga,11,11,10.4,27.7,3.6,2.8,2.7,0.6,,0.7,76.8,0,0.4,0,2014-01-08,2018-03-01,186,76,Right
28726,Sandra Duran,20,England,FW,Juventus,Bundesliga,5,4,75.1,,3,2.8,1.1,0.9,0.5,0.2,81.6,0.1,2.4,0.5,2014-01-08,2016-07-27,168,82,Right
44718,Rebecca Rice,,Italy,,PSG,Premier League,17,22,31.6,85.9,0.2,,0.3,0.1,0.1,1.9,70.3,5.7,18.1,71.3,2011-07-05,2012-07-27,192,75,Right
28301,Kimberly Brown,27,,FW,PSG,Serie A,,5,58.6,146.8,2.5,1.5,,0.8,,1.4,82.8,0.1,1.1,1,2011-07-27,2016-11-03,174,65,Left
42325,Kayla Olson,,Brazil,FW,Manchester United,,33,18,29.1,47.3,5,2.4,1.3,0.4,0.4,1.5,80.3,0.1,1.6,0.1,2017-10-22,2018-03-27,184,67,Right
83579,Desiree Williams,21,England,MF,Juventus,Ligue 1,5,,81.7,,1.8,2,1.6,1.5,2.3,1.3,80.1,0.2,9.4,3.4,2009-02-24,2010-11-17,170,84,Left
80644,Gary Owens,21,Argentina,MF,Inter Milan,Bundesliga,48,20,79.7,134.8,0.6,2,1.6,2.4,2.4,1.7,80.6,0,5.9,0.6,2008-12-27,2011-09-05,187,77,Right
44438,Jason Walker,20,,DF,Inter Milan,Serie A,3,24,14.8,110.4,0.2,0.8,0.4,4.3,2.8,5.5,86.9,0.3,7.6,0.8,2005-03-24,2006-04-02,187,84,Right
86622,Carlos Miller,26,Argentina,MF,Bayern Munich,,,4,106.9,68.8,0.6,2.4,2,2.3,1.3,2.1,86,,0.4,,2020-10-23,2023-04-12,188,71,Right
66155,Sandra Horton,27,Belgium,FW,Bayern Munich,Premier League,5,4,20,1.5,3.7,,1.4,0.8,0.5,0.6,82.3,0,2.1,2.8,2012-06-21,2015-04-26,170,74,Right
86484,Lauren Leach,,Argentina,DF,Inter Milan,Serie A,31,22,77,33.6,0.8,,0.7,3.9,3.9,,,0.2,5.2,7.3,2014-05-01,2018-05-12,170,85,Left
62350,Deanna Kennedy,22,Italy,MF,Manchester United,Premier League,46,23,41.5,119.1,1.3,1.3,2.8,3.2,1.5,,84.7,0,3.4,,2011-08-08,2013-11-02,184,85,Both
57447,Todd Smith,35,,DF,Barcelona,Serie A,22,13,33.9,8.2,0.5,0.5,0.3,3.4,3.3,4.6,77.2,0.2,11.1,2.1,2020-11-19,2023-10-27,174,91,Right
38746,Amanda Johnson,34,Portugal,MF,Inter Milan,Premier League,20,2,,15.2,,1.7,3,3.4,2.2,2.2,84.6,0,5.6,1,2008-11-15,2010-12-26,193,69,Right
28131,Kevin Mullen II,17,Belgium,GK,Real Madrid,,36,29,70.3,88.2,0,0.2,0.1,0.1,0,1.2,78,,6.4,74.6,2016-08-02,2020-04-01,201,75,Left
76784,Seth Lambert,17,Italy,FW,PSG,La Liga,36,3,11.4,73.3,3.2,1.7,2.2,1.2,0.9,1.4,70.5,0.1,2.8,0.6,2012-07-16,2014-09-24,184,66,Right
74686,,20,Brazil,FW,Arsenal,Serie A,36,0,103.9,137.1,,2.1,3,1,0.7,0.4,80.5,0.1,4,,2020-03-10,2023-05-02,185,76,Right
21915,,29,Portugal,GK,Arsenal,Ligue 1,,,,23.5,0.1,0.1,0,,,1.9,66.7,5.6,13.1,78,2013-02-01,2014-03-10,200,82,Left
16175,Sara Mcclure,32,,GK,Arsenal,,33,,19.5,70.5,0.1,0.1,0.1,0,0.1,1.9,62.7,4.9,,80.8,2012-07-18,2014-01-18,191,85,Right
24371,Carlos Valdez,20,,DF,Arsenal,Premier League,0,9,79.9,19.9,,0.6,0.7,3.4,2.6,6.5,76.9,0.1,14.9,10,2006-02-03,2007-03-20,187,80,Right
30033,Dawn Morrison,17,England,GK,Liverpool,Premier League,0,19,62.2,18.2,0.1,0.1,0.2,0.2,,1.8,74.7,4.5,15.1,79.4,2019-07-09,2021-05-25,192,81,Right
92240,Brandi Shaw,27,Belgium,DF,,La Liga,15,12,12.5,142.5,0.3,1.2,,3.7,3.7,6.6,83.9,0,13.4,1.4,2005-06-08,2010-04-08,185,66,Left
30969,,20,Netherlands,GK,Real Madrid,Ligue 1,46,1,9.1,,0.1,0.2,0.2,0.1,0.1,1.7,77.4,5.4,9.2,81.4,2018-12-01,2019-05-23,191,73,Right
99192,,,France,FW,Real Madrid,Ligue 1,2,12,,13,3.8,3.9,2,0.5,0.3,0.5,79.5,0,4.9,0.5,2007-03-20,2010-12-07,168,74,Right
65333,Paul Williams,34,Germany,GK,Chelsea,Premier League,23,26,67.9,133.2,0.2,0.1,0,0.1,0,1,,4.9,5,,2007-08-26,2011-02-03,189,66,Left
88172,Stephen Christensen,34,Germany,GK,Arsenal,La Liga,10,28,115.2,76.2,0.2,0,0.4,0.2,0.2,0.6,61.4,4.3,6.6,78,2009-07-04,2011-09-03,188,68,Right
18326,,18,England,DF,Liverpool,Premier League,35,3,77.8,39.7,0.6,1,,4.6,3.5,3.2,79.3,0,4.1,8.3,2006-03-28,2010-01-15,193,67,
60432,Chad Reed,21,Portugal,DF,Barcelona,Serie A,39,8,101.3,90,0.6,0.6,0.6,4.4,2.7,6.3,85.9,0,12.4,6.8,2007-09-28,2011-04-27,193,82,Right
60019,Brandon Ali,19,Portugal,FW,Barcelona,Premier League,19,10,87.1,132.6,4.9,3.5,1,0.5,0.3,0.6,83.7,0,3.2,0.9,2015-11-24,2020-08-18,180,88,Both
88104,,28,Brazil,MF,PSG,Bundesliga,,18,74.1,142.8,2.1,2.5,2,2.4,2,2.1,,0.1,,2.4,2018-04-17,2020-08-15,187,77,
