Player_Name,Age,Nationality,Position,Current_Club,League,Season,Appearances,Goals,Market_Value_Million_EUR,Transfer_Fee_Million_EUR,Shots_Per_Game,Dribbles_Per_Game,Key_Passes_Per_Game,Tackles_Per_Game,Interceptions_Per_Game,Clearances_Per_Game,Pass_Accuracy_Percentage,Saves_Per_Game,Clean_Sheets,Save_Percentage
Barbara Luna,,France,GK,Manchester United,Serie A,2016/2017,45.0,22.0,3.8,51.6,0.1,,0.2,0.2,0.1,0.9,60.3,4.8,9.1,86.3
Rebecca Smith,19.0,France,DF,Arsenal,La Liga,2020/2021,33.0,25.0,79.9,12.0,0.7,0.8,0.3,2.5,2.3,6.9,87.2,0.1,4.9,0.9
Daniel Robinson,,Argentina,GK,Inter Milan,Premier League,,1.0,20.0,92.3,5.9,0.2,0.2,0.2,0.0,0.0,1.9,77.0,4.7,7.9,76.3
Alexander Marshall,,Argentina,FW,Manchester United,Ligue 1,2010/2011,6.0,22.0,96.5,70.6,3.4,2.4,1.8,0.3,1.0,1.4,73.1,0.0,3.3,1.8
Denise Travis,18.0,Netherlands,MF,Chelsea,La Liga,2022/2023,44.0,3.0,,13.7,1.2,2.6,2.6,3.1,1.6,1.3,83.8,0.0,,2.6
Patricia Hall,27.0,Italy,FW,PSG,,2015/2016,3.0,7.0,51.0,50.7,3.9,3.6,2.2,1.0,0.4,1.3,70.0,0.0,2.3,0.9
Laurie Lyons,22.0,Germany,DF,Manchester United,Serie A,2022/2023,7.0,11.0,110.5,100.6,0.9,1.1,1.0,3.7,4.5,6.2,86.8,0.3,6.9,0.9
Anthony Snow,21.0,Belgium,GK,Barcelona,Premier League,2022/2023,26.0,28.0,,112.8,0.0,0.2,0.1,,0.0,2.0,77.2,,13.4,78.0
Todd Tucker,26.0,,DF,Arsenal,Ligue 1,2017/2018,9.0,9.0,29.8,142.4,0.5,1.4,0.5,2.7,3.3,3.7,82.9,0.1,14.8,6.5
Jessica Nguyen,19.0,Netherlands,GK,Real Madrid,La Liga,2021/2022,22.0,6.0,48.2,114.0,0.2,0.2,0.5,0.1,,1.2,79.3,3.1,6.7,77.4
Angela Hodge,27.0,Argentina,MF,PSG,Ligue 1,2021/2022,4.0,9.0,37.1,83.2,1.2,1.1,3.3,2.6,,2.2,80.6,0.1,,0.7
Jennifer Montes,20.0,England,FW,Arsenal,Bundesliga,2024/2025,49.0,,18.1,22.0,3.9,3.9,1.3,1.1,0.6,0.4,73.5,0.1,0.2,1.3
Victoria Olsen,33.0,Argentina,MF,Liverpool,Serie A,2016/2017,13.0,15.0,79.3,129.1,1.9,1.5,3.1,2.0,1.6,,,0.1,7.3,4.3
Robert Galvan,26.0,Brazil,MF,Liverpool,Premier League,2021/2022,,2.0,91.3,148.1,0.8,1.8,,2.1,1.1,1.3,85.1,,,
Kenneth Jones,22.0,England,MF,Manchester United,La Liga,2017/2018,49.0,7.0,90.2,13.3,0.6,2.0,2.4,3.3,2.1,1.3,81.7,0.1,6.8,3.3
Robert Brown,28.0,Spain,MF,Real Madrid,Serie A,,28.0,1.0,117.8,1.7,2.0,1.5,2.7,3.3,,2.7,,0.1,3.2,0.5
Patrick Rivera,30.0,Belgium,,,Premier League,2024/2025,32.0,,19.8,64.8,0.8,1.4,0.7,2.9,2.3,5.6,82.9,0.1,9.9,5.4
John Larson,32.0,France,MF,Liverpool,Serie A,2013/2014,12.0,4.0,89.2,40.2,1.6,1.2,3.2,2.3,1.8,1.1,86.8,0.2,6.7,4.3
Matthew Miller,20.0,Netherlands,GK,PSG,Serie A,2017/2018,43.0,16.0,78.8,66.3,0.0,0.0,0.2,0.3,0.0,0.6,71.9,4.4,11.9,73.8
Derek Foley,33.0,Belgium,DF,Inter Milan,Premier League,,33.0,23.0,33.8,60.3,0.1,1.3,0.6,2.9,3.6,3.7,78.9,0.1,3.6,2.7
Dylan Lee,34.0,,DF,PSG,Premier League,2021/2022,15.0,21.0,5.9,27.1,0.2,1.2,1.0,4.6,4.0,,78.7,0.3,10.7,7.7
Marc Sharp,23.0,,GK,Chelsea,La Liga,2023/2024,15.0,17.0,6.1,,0.1,,0.4,0.0,0.0,0.8,74.9,5.2,5.3,76.2
Rhonda Barton,20.0,England,DF,PSG,Bundesliga,2014/2015,22.0,11.0,67.9,135.0,0.5,1.1,0.9,,2.3,5.4,86.8,0.2,,2.7
Stephen Williams,17.0,Germany,FW,Bayern Munich,Bundesliga,2020/2021,48.0,25.0,34.9,112.2,3.4,3.2,1.3,0.6,0.6,,78.6,0.1,0.4,2.7
Anthony Clark,32.0,Italy,MF,,Ligue 1,2019/2020,20.0,29.0,79.6,145.6,0.8,1.2,2.9,2.2,1.4,2.8,84.8,0.2,7.1,1.7
Brenda Vargas,18.0,Portugal,GK,,Serie A,2010/2011,49.0,20.0,,135.6,0.1,0.0,0.2,0.1,0.0,,64.2,3.5,13.4,78.7
Mark Rodriguez,,Belgium,FW,Juventus,Bundesliga,2022/2023,30.0,13.0,38.0,34.1,2.3,3.4,2.1,0.4,0.8,1.1,77.0,0.1,,2.8
Jennifer Meyers,18.0,,GK,Liverpool,Ligue 1,,27.0,9.0,7.6,125.4,0.1,0.3,,0.0,,1.4,76.6,5.7,15.8,79.2
James Mcneil,19.0,Argentina,GK,Manchester United,La Liga,2023/2024,40.0,3.0,84.8,81.2,0.2,0.2,0.3,0.3,0.2,0.6,72.0,3.3,13.1,74.0
Raymond Ortiz,21.0,Germany,FW,Barcelona,Ligue 1,2012/2013,,12.0,118.9,51.6,4.4,2.0,1.7,0.6,0.1,1.2,72.4,0.0,1.3,2.2
Sean House,32.0,Germany,DF,,Bundesliga,2019/2020,5.0,25.0,38.2,89.3,0.9,0.8,0.8,4.6,2.7,3.4,79.4,0.3,8.2,1.8
Joseph Martinez,20.0,,FW,Arsenal,Ligue 1,2019/2020,29.0,4.0,,132.1,2.3,1.8,2.9,0.5,0.2,1.2,84.2,,3.2,1.1
Angela Russo,33.0,Italy,MF,Real Madrid,Ligue 1,2014/2015,43.0,11.0,22.9,38.5,1.9,2.0,2.0,2.6,2.0,1.7,88.1,0.1,9.0,1.9
Elizabeth Young,,,MF,,Premier League,2015/2016,9.0,12.0,53.8,121.6,1.7,2.4,2.4,3.5,1.1,2.2,,0.2,6.5,2.5
Ashley Mcbride,36.0,Argentina,MF,,Premier League,2017/2018,47.0,9.0,52.1,,1.0,1.9,2.7,3.3,1.4,2.9,80.7,,7.0,2.9
Eric Campbell,,,MF,Bayern Munich,Ligue 1,2020/2021,10.0,25.0,83.8,117.9,1.5,2.4,1.9,2.2,,1.8,86.6,0.1,2.3,0.6
Danielle Bell,22.0,England,FW,Inter Milan,Bundesliga,2012/2013,,2.0,6.3,109.2,2.5,3.7,2.8,0.9,0.2,0.2,,0.1,0.5,0.2
Cynthia Lopez,,Brazil,DF,Chelsea,Serie A,2013/2014,15.0,21.0,6.8,29.6,0.2,0.5,0.7,3.9,2.8,3.1,83.9,0.2,9.5,6.0
Ashley Jackson,33.0,England,DF,Manchester United,Premier League,2013/2014,39.0,28.0,54.9,90.5,0.8,0.8,0.4,4.4,3.9,5.9,76.7,,10.0,8.1
Destiny Williams,32.0,Italy,,PSG,Premier League,2010/2011,32.0,19.0,19.6,115.1,0.0,0.1,0.3,0.2,0.0,0.6,76.7,5.1,6.7,85.9
Jesus Munoz,,,DF,PSG,Ligue 1,2010/2011,15.0,6.0,20.1,60.6,0.6,0.8,0.8,4.2,3.1,3.4,77.2,0.1,12.5,6.4
Susan Goodman,27.0,Spain,GK,Manchester United,,2018/2019,39.0,,112.5,145.2,0.1,,0.0,0.1,0.1,1.2,72.8,5.9,17.4,86.9
Frank Reynolds,28.0,Portugal,DF,Inter Milan,Bundesliga,2024/2025,18.0,23.0,100.9,11.3,0.9,1.4,0.3,4.1,3.5,4.1,75.1,0.1,13.4,1.4
Andrew Key,18.0,Argentina,DF,,Serie A,2018/2019,15.0,22.0,35.5,33.0,1.0,0.8,0.7,3.8,4.5,4.1,87.9,0.1,4.7,4.9
Christopher Cole,24.0,France,MF,PSG,Premier League,2010/2011,44.0,0.0,83.9,12.3,0.6,2.7,2.7,1.8,,1.2,81.0,0.2,0.6,4.8
Michael Donovan,,Brazil,DF,Bayern Munich,Premier League,2013/2014,,11.0,95.3,111.5,1.0,,1.0,4.3,3.1,5.0,87.5,0.2,7.3,6.3
Kimberly Vega,24.0,Argentina,FW,,Serie A,2023/2024,22.0,5.0,105.5,52.6,2.1,2.3,1.1,0.4,0.5,0.8,82.9,,2.3,2.9
Barbara Perry,32.0,Brazil,GK,Arsenal,Premier League,2020/2021,30.0,5.0,,121.9,0.1,0.1,0.3,0.1,0.2,,67.2,5.9,16.3,83.2
Mr. Brian Kidd,24.0,Brazil,FW,Juventus,,2015/2016,,22.0,95.4,98.9,2.9,2.9,2.9,0.7,0.4,0.4,75.4,0.0,2.9,1.4
Stephanie Cooley,34.0,Netherlands,FW,Real Madrid,La Liga,2023/2024,45.0,26.0,101.3,16.1,2.7,3.1,2.8,0.6,0.4,1.4,,0.0,,0.1
Kelly Anderson,28.0,Portugal,,Inter Milan,Serie A,2021/2022,11.0,,116.2,9.4,,,0.8,2.7,2.1,7.0,82.6,0.0,10.2,5.5
Charles Chase,29.0,,GK,Arsenal,Serie A,2019/2020,22.0,,,60.1,0.1,0.2,,0.3,0.0,1.3,67.2,4.1,10.4,
Stephanie Carter,34.0,Germany,FW,PSG,Ligue 1,,9.0,27.0,37.6,60.1,2.3,2.5,2.9,0.9,0.9,0.4,76.6,0.1,4.0,1.4
Dawn Stevenson,36.0,Argentina,MF,Inter Milan,Ligue 1,2018/2019,8.0,1.0,59.0,81.5,1.7,1.6,2.2,3.3,1.8,1.1,86.7,0.1,2.4,1.0
Joel Armstrong,,Italy,MF,Arsenal,Serie A,,30.0,10.0,96.0,105.7,0.6,2.0,3.1,3.3,2.0,1.8,89.1,0.1,2.3,4.0
William Williams,35.0,France,DF,Liverpool,La Liga,2023/2024,5.0,15.0,32.5,5.5,0.3,1.3,0.7,2.8,3.7,6.5,87.8,,6.3,5.0
,29.0,Spain,MF,Juventus,Premier League,2019/2020,8.0,0.0,11.6,11.7,1.8,2.7,1.8,2.5,,2.7,,0.0,5.6,0.6
Kim Green,35.0,Germany,MF,,Premier League,2011/2012,41.0,24.0,100.5,97.8,1.2,2.1,3.2,3.0,1.7,1.6,,0.2,3.9,
Courtney Lamb,23.0,Brazil,,Arsenal,,2016/2017,46.0,10.0,99.8,141.1,4.1,1.6,2.3,1.2,0.1,,,0.1,,0.8
Andrew Rodgers,31.0,Spain,MF,Real Madrid,Bundesliga,2021/2022,14.0,5.0,76.1,63.2,1.1,2.9,,1.6,1.3,1.7,83.5,0.1,,1.6
Laura Lee,35.0,Argentina,FW,Chelsea,Bundesliga,2019/2020,,8.0,70.6,12.1,3.1,,1.5,0.6,0.5,0.5,73.8,0.0,1.4,0.2
Eric Smith,24.0,England,MF,Chelsea,,2014/2015,15.0,4.0,,132.2,1.3,2.0,2.9,1.9,1.5,1.1,86.6,0.0,5.7,
Tammy White,31.0,Argentina,MF,,Serie A,,5.0,18.0,,63.4,1.0,1.5,1.6,2.0,2.2,1.5,91.1,0.1,9.7,4.2
Jeffrey Gonzalez,31.0,France,GK,Manchester United,Ligue 1,2022/2023,27.0,27.0,104.5,127.3,0.1,0.1,0.4,0.2,0.2,1.8,79.5,5.7,,86.7
Katrina Morgan,17.0,,FW,Juventus,Ligue 1,2024/2025,29.0,6.0,6.5,47.1,3.8,2.0,2.7,1.1,0.9,,81.1,,0.4,0.8
Natalie Butler,25.0,Belgium,GK,Chelsea,Ligue 1,2018/2019,29.0,13.0,41.4,142.7,0.0,0.1,0.2,0.1,0.0,1.2,64.6,4.4,18.6,79.3
Christina Moore,33.0,England,DF,Juventus,Bundesliga,2014/2015,46.0,24.0,,15.9,0.6,0.8,0.7,2.9,3.3,5.2,81.3,0.0,4.9,
James Taylor,25.0,,MF,Arsenal,,2011/2012,3.0,3.0,,27.7,0.8,2.5,2.5,3.0,1.2,2.3,86.5,0.0,3.1,3.0
Tammy Lee,33.0,France,DF,Juventus,Bundesliga,2013/2014,14.0,21.0,47.5,27.0,0.9,0.9,0.9,4.5,4.1,5.7,84.1,0.3,7.0,9.2
Paula Moore,30.0,,GK,PSG,La Liga,2013/2014,,17.0,99.5,10.6,0.2,0.3,0.1,0.1,0.0,,62.2,5.0,17.4,79.6
Joseph Wise,34.0,England,DF,Inter Milan,Ligue 1,2011/2012,37.0,,85.6,149.8,,1.1,0.8,2.9,4.5,4.0,83.3,0.1,10.9,5.4
Sarah Kim,35.0,France,GK,Manchester United,,2016/2017,45.0,1.0,111.3,30.3,0.1,0.2,0.3,0.2,0.1,1.1,78.8,3.6,19.7,78.1
Jason Waters,,Portugal,GK,Arsenal,Bundesliga,2019/2020,47.0,25.0,40.1,33.1,0.1,0.1,,0.0,0.1,1.1,77.3,4.7,11.6,75.2
,31.0,Portugal,,Real Madrid,Serie A,2021/2022,10.0,18.0,3.5,127.8,0.0,0.1,0.3,0.2,0.2,1.6,76.6,4.9,10.4,70.2
Tammy Hernandez,30.0,Germany,GK,Bayern Munich,Premier League,2011/2012,0.0,24.0,0.9,12.6,0.1,0.1,0.2,0.3,,0.6,60.0,4.5,16.8,84.8
Susan Harris,19.0,Spain,,Real Madrid,Premier League,2020/2021,3.0,23.0,109.0,8.2,2.1,2.6,2.9,,0.4,,74.8,0.0,4.9,0.6
,25.0,Netherlands,FW,Juventus,Serie A,2015/2016,6.0,29.0,,104.2,5.0,,1.7,0.6,,0.8,,0.0,,2.6
Maurice Shields,,Brazil,GK,Juventus,Ligue 1,2010/2011,30.0,11.0,1.5,14.9,0.0,0.0,0.1,0.1,0.0,0.8,66.4,2.9,17.5,89.2
Taylor Cross,35.0,Germany,DF,Barcelona,Bundesliga,2016/2017,41.0,14.0,34.0,41.5,,0.4,0.8,2.9,,3.4,80.4,0.2,13.9,3.8
,27.0,Italy,DF,Barcelona,Serie A,2020/2021,45.0,4.0,27.9,,0.6,1.3,0.9,3.1,3.2,,80.7,0.1,3.5,
Shannon Obrien,34.0,Portugal,FW,PSG,,2011/2012,32.0,7.0,4.1,118.6,,2.7,1.8,,,0.7,70.6,0.0,2.0,1.8
Joshua Palmer,19.0,Netherlands,DF,Liverpool,La Liga,2010/2011,45.0,21.0,111.2,123.3,0.9,1.4,0.6,4.6,2.9,5.8,76.6,,8.1,
Michael Welch,21.0,Germany,FW,Real Madrid,La Liga,2022/2023,3.0,16.0,20.1,145.9,,2.2,2.2,0.9,0.4,0.8,81.6,0.1,2.0,2.2
Robert Anderson,35.0,Netherlands,FW,PSG,Premier League,,31.0,17.0,6.4,140.8,4.9,1.9,1.2,0.3,0.2,1.2,,0.1,2.8,1.9
Robert Rodriguez,32.0,France,FW,Chelsea,La Liga,2017/2018,47.0,29.0,101.9,29.1,2.9,2.6,,0.8,0.6,0.5,74.7,0.0,2.5,1.2
David Rivera,30.0,Italy,MF,Arsenal,La Liga,2024/2025,12.0,18.0,,108.1,2.0,,2.8,,1.1,1.9,89.0,0.2,0.8,4.1
Brenda Daniel,18.0,Germany,MF,Arsenal,Serie A,2014/2015,0.0,16.0,67.1,15.6,1.0,2.9,1.7,2.2,2.2,3.0,81.7,0.1,4.2,4.4
Jonathan Rodriguez,21.0,France,GK,,,,42.0,19.0,38.4,32.8,0.2,0.2,0.2,0.0,0.1,,63.4,4.2,11.7,72.2
,18.0,Netherlands,DF,Bayern Munich,La Liga,2014/2015,22.0,14.0,91.9,,0.6,,0.2,4.8,4.3,5.5,78.1,0.2,4.4,8.1
Dr. Krista English,25.0,Germany,DF,Chelsea,Bundesliga,2013/2014,2.0,14.0,83.0,81.9,0.2,0.4,0.5,,4.4,4.7,85.8,0.1,13.2,
Destiny Gibson,35.0,England,DF,Inter Milan,Serie A,2010/2011,35.0,29.0,60.3,105.5,0.1,1.4,0.9,3.0,4.2,6.9,83.5,0.1,6.4,2.1
Jordan Shepard,31.0,Italy,DF,Manchester United,Serie A,2015/2016,29.0,11.0,91.9,70.3,0.1,1.2,,4.3,2.5,6.6,,0.1,3.6,2.9
Troy Lopez,28.0,Germany,,Real Madrid,La Liga,2021/2022,14.0,19.0,,82.9,0.4,0.6,0.5,2.6,4.2,5.2,,0.1,14.1,8.6
Amanda Montgomery,30.0,France,MF,Real Madrid,La Liga,2021/2022,,1.0,107.6,32.5,2.4,2.2,3.4,1.9,2.1,2.4,,0.0,,3.0
Jordan Bauer,26.0,Netherlands,FW,Chelsea,Ligue 1,2016/2017,,,55.1,18.5,2.7,2.2,2.1,,,0.6,75.8,0.1,0.2,1.6
Jack Burton,,England,GK,Real Madrid,Serie A,2014/2015,38.0,18.0,20.1,,0.0,0.2,0.1,0.3,,0.7,65.1,5.6,,
Mrs. Shannon Barnes,,Portugal,FW,Bayern Munich,La Liga,2014/2015,2.0,9.0,85.1,144.0,3.3,1.5,2.7,1.0,0.8,0.2,,0.1,4.3,0.8
David Davis,30.0,Portugal,DF,PSG,La Liga,2017/2018,42.0,27.0,93.8,59.5,0.3,1.1,,4.8,2.1,4.8,82.9,0.0,7.2,
Christopher White,31.0,Belgium,MF,Chelsea,Serie A,2015/2016,0.0,26.0,38.9,20.5,2.1,1.2,3.3,3.0,1.9,2.0,86.0,0.0,2.2,3.2
Ronald Clark,21.0,Argentina,MF,Arsenal,Bundesliga,2020/2021,49.0,14.0,49.9,67.4,,2.1,1.6,3.4,1.3,2.3,,0.0,6.0,0.2
Emily Chambers,26.0,England,FW,Bayern Munich,La Liga,2015/2016,11.0,11.0,10.4,27.7,3.6,2.8,2.7,0.6,,0.7,76.8,0.0,0.4,0.0
Sandra Duran,20.0,England,FW,Juventus,Bundesliga,,5.0,4.0,75.1,,3.0,2.8,1.1,0.9,0.5,0.2,81.6,0.1,2.4,0.5
Rebecca Rice,,Italy,,PSG,Premier League,2013/2014,17.0,22.0,31.6,85.9,0.2,,0.3,0.1,0.1,1.9,70.3,5.7,18.1,71.3
Kimberly Brown,27.0,,FW,PSG,Serie A,2016/2017,,5.0,58.6,146.8,2.5,1.5,,0.8,,1.4,82.8,0.1,1.1,1.0
Kayla Olson,,Brazil,FW,Manchester United,,2018/2019,33.0,18.0,29.1,47.3,5.0,2.4,1.3,0.4,0.4,1.5,80.3,0.1,1.6,0.1
Desiree Williams,21.0,England,MF,Juventus,Ligue 1,2011/2012,5.0,,81.7,,1.8,2.0,1.6,1.5,2.3,1.3,80.1,0.2,9.4,3.4
Gary Owens,21.0,Argentina,MF,Inter Milan,Bundesliga,2010/2011,48.0,20.0,79.7,134.8,0.6,2.0,1.6,2.4,2.4,1.7,80.6,0.0,5.9,0.6
Jason Walker,20.0,,DF,Inter Milan,Serie A,2018/2019,3.0,24.0,14.8,110.4,0.2,0.8,0.4,4.3,2.8,5.5,86.9,0.3,7.6,0.8
Carlos Miller,26.0,Argentina,MF,Bayern Munich,,2012/2013,,4.0,106.9,68.8,0.6,2.4,2.0,2.3,1.3,2.1,86.0,,0.4,
Sandra Horton,27.0,Belgium,FW,Bayern Munich,Premier League,2013/2014,5.0,4.0,20.0,1.5,3.7,,1.4,0.8,0.5,0.6,82.3,0.0,2.1,2.8
Lauren Leach,,Argentina,DF,Inter Milan,Serie A,2013/2014,31.0,22.0,77.0,33.6,0.8,,0.7,3.9,3.9,,,0.2,5.2,7.3
Deanna Kennedy,22.0,Italy,MF,Manchester United,Premier League,2014/2015,46.0,23.0,41.5,119.1,1.3,1.3,2.8,3.2,1.5,,84.7,0.0,3.4,
Todd Smith,35.0,,DF,Barcelona,Serie A,2020/2021,22.0,13.0,33.9,8.2,0.5,0.5,0.3,3.4,3.3,4.6,77.2,0.2,11.1,2.1
Amanda Johnson,34.0,Portugal,MF,Inter Milan,Premier League,2019/2020,20.0,2.0,,15.2,,1.7,3.0,3.4,2.2,2.2,84.6,0.0,5.6,1.0
Kevin Mullen II,17.0,Belgium,GK,Real Madrid,,2012/2013,36.0,29.0,70.3,88.2,0.0,0.2,0.1,0.1,0.0,1.2,78.0,,6.4,74.6
Seth Lambert,17.0,Italy,FW,PSG,La Liga,2021/2022,36.0,3.0,11.4,73.3,3.2,1.7,2.2,1.2,0.9,1.4,70.5,0.1,2.8,0.6
,20.0,Brazil,FW,Arsenal,Serie A,2011/2012,36.0,0.0,103.9,137.1,,2.1,3.0,1.0,0.7,0.4,80.5,0.1,4.0,
,29.0,Portugal,GK,Arsenal,Ligue 1,2011/2012,,,,23.5,0.1,0.1,0.0,,,1.9,66.7,5.6,13.1,78.0
Sara Mcclure,32.0,,GK,Arsenal,,2019/2020,33.0,,19.5,70.5,0.1,0.1,0.1,0.0,0.1,1.9,62.7,4.9,,80.8
Carlos Valdez,20.0,,DF,Arsenal,Premier League,2015/2016,0.0,9.0,79.9,19.9,,0.6,0.7,3.4,2.6,6.5,76.9,0.1,14.9,10.0
Dawn Morrison,17.0,England,GK,Liverpool,Premier League,2011/2012,0.0,19.0,62.2,18.2,0.1,0.1,0.2,0.2,,1.8,74.7,4.5,15.1,79.4
Brandi Shaw,27.0,Belgium,DF,,La Liga,2022/2023,15.0,12.0,12.5,142.5,0.3,1.2,,3.7,3.7,6.6,83.9,0.0,13.4,1.4
,20.0,Netherlands,GK,Real Madrid,Ligue 1,,46.0,1.0,9.1,,0.1,0.2,0.2,0.1,0.1,1.7,77.4,5.4,9.2,81.4
,,France,FW,Real Madrid,Ligue 1,2016/2017,2.0,12.0,,13.0,3.8,3.9,2.0,0.5,0.3,0.5,79.5,0.0,4.9,0.5
Paul Williams,34.0,Germany,GK,Chelsea,Premier League,2013/2014,23.0,26.0,67.9,133.2,0.2,0.1,0.0,0.1,0.0,1.0,,4.9,5.0,
Stephen Christensen,34.0,Germany,GK,Arsenal,La Liga,,10.0,28.0,115.2,76.2,0.2,0.0,0.4,0.2,0.2,0.6,61.4,4.3,6.6,78.0
,18.0,England,DF,Liverpool,Premier League,2018/2019,35.0,3.0,77.8,39.7,0.6,1.0,,4.6,3.5,3.2,79.3,0.0,4.1,8.3
Chad Reed,21.0,Portugal,DF,Barcelona,Serie A,2022/2023,39.0,8.0,101.3,90.0,0.6,0.6,0.6,4.4,2.7,6.3,85.9,0.0,12.4,6.8
Brandon Ali,19.0,Portugal,FW,Barcelona,Premier League,2011/2012,19.0,10.0,87.1,132.6,4.9,3.5,1.0,0.5,0.3,0.6,83.7,0.0,3.2,0.9
,28.0,Brazil,MF,PSG,Bundesliga,2020/2021,,18.0,74.1,142.8,2.1,2.5,2.0,2.4,2.0,2.1,,0.1,,2.4
Dawn Moore,31.0,Netherlands,GK,Juventus,,2014/2015,40.0,,70.5,0.3,0.1,,0.2,0.1,,1.0,79.0,5.9,7.6,77.8
Rodney Jacobs,18.0,Spain,GK,PSG,Premier League,2016/2017,16.0,2.0,92.5,89.1,,0.1,0.1,0.1,0.2,1.9,75.4,6.0,18.9,82.1
Evan Wilson,24.0,Italy,FW,Real Madrid,Serie A,2023/2024,21.0,29.0,57.1,21.6,4.6,,1.8,0.6,0.6,0.6,,0.1,1.6,1.2
Jaime Porter,19.0,England,MF,Inter Milan,Ligue 1,2013/2014,48.0,26.0,85.3,133.6,1.1,2.8,2.4,2.2,2.4,2.5,88.3,0.1,4.4,
,,France,FW,Manchester United,Ligue 1,2017/2018,11.0,5.0,80.2,113.8,3.2,2.5,3.0,,1.0,0.6,84.8,0.1,4.2,0.4
Pamela Smith,20.0,Germany,MF,Inter Milan,Ligue 1,2022/2023,23.0,10.0,105.5,59.9,0.8,2.9,2.6,2.3,2.1,1.6,89.8,0.1,8.9,3.6
Kevin Martinez,28.0,Brazil,,Chelsea,Serie A,2021/2022,9.0,24.0,104.9,87.6,1.9,1.2,2.9,1.8,1.6,3.0,86.1,0.2,1.4,4.7
Derek Valdez,23.0,England,MF,,Ligue 1,2018/2019,14.0,23.0,22.1,45.2,1.2,,3.1,1.8,1.8,2.3,84.2,0.1,1.7,4.5
Meghan Morrison,36.0,Spain,MF,,Ligue 1,,34.0,7.0,9.9,30.0,,2.3,,2.1,1.5,1.4,81.3,0.1,1.3,1.0
Heather Cox,,Argentina,MF,Manchester United,Bundesliga,2010/2011,37.0,,87.5,,0.8,1.3,1.8,1.8,,2.7,84.7,0.1,0.8,4.4
Kenneth Clark,28.0,France,MF,Inter Milan,Bundesliga,2011/2012,13.0,11.0,94.4,88.5,1.4,2.7,3.0,1.8,1.0,1.6,88.6,0.2,4.6,4.7
,35.0,Italy,FW,Barcelona,Bundesliga,2013/2014,29.0,21.0,49.4,84.6,4.3,3.0,1.5,,0.6,1.4,,,2.2,
Natasha Phelps,34.0,Argentina,FW,Bayern Munich,Ligue 1,2013/2014,23.0,24.0,18.4,136.7,2.1,2.9,1.4,0.4,0.6,1.1,72.0,0.0,1.2,1.5
Judith Delgado,20.0,,MF,,Ligue 1,2021/2022,44.0,,83.0,120.7,0.6,1.5,2.4,3.3,1.8,1.5,86.9,0.0,,4.6
Ryan Bruce,25.0,Germany,MF,Liverpool,Ligue 1,,17.0,11.0,115.5,103.8,0.8,2.9,2.1,3.0,1.1,1.9,87.1,0.1,0.7,3.1
Kristen Spencer,28.0,Portugal,DF,Juventus,,2018/2019,21.0,,105.7,94.3,0.3,1.1,,3.2,2.2,5.7,84.0,0.0,6.5,0.3
Jerry Watson,,England,MF,,Serie A,2015/2016,,19.0,112.4,122.6,0.8,2.0,3.5,2.6,,1.1,86.3,0.0,3.1,
Erik Hays,26.0,England,,Barcelona,La Liga,2019/2020,30.0,,101.5,64.2,1.6,1.4,3.3,1.6,2.1,1.3,80.0,0.0,,1.4
